Event	ID	Name			Wwise Object Path	Notes
	81558832	Play_SFX_Button_YourQuests_Open			\Default Work Unit\Play_SFX_Button_YourQuests_Open	
	248651782	Play_SFX_Button_PPOn			\Default Work Unit\Play_SFX_Button_PPOn	
	263265384	Play_WETLAND_Pl			\Default Work Unit\Placeholders\Play_WETLAND_Pl	
	326359121	Play_SFX_Kill_Sheep_Victory			\Default Work Unit\Animals\Killing\Play_SFX_Kill_Sheep_Victory	
	459120378	Play_SFX_Button_Landing			\Default Work Unit\Play_SFX_Button_Landing	
	566356829	Play_PRAIRIE_Pl			\Default Work Unit\Placeholders\Play_PRAIRIE_Pl	
	954902742	Play_Winter_Wind			\Default Work Unit\Play_Winter_Wind	
	955079766	Play_TakeOff			\Default Work Unit\Play_TakeOff	
	1020223172	Play_WIND			\Default Work Unit\Play_WIND	
	1313846872	Play_End_Turn_Pl			\Default Work Unit\Placeholders\Play_End_Turn_Pl	
	1488595426	Play_WATER_Pl			\Default Work Unit\Placeholders\Play_WATER_Pl	
	1498169336	Play_River			\Default Work Unit\Placeholders\Play_River	
	1657304684	Play_SFX_Button_PPOff			\Default Work Unit\Play_SFX_Button_PPOff	
	1924972948	Play_SFX_Button_YourQuests_Close			\Default Work Unit\Play_SFX_Button_YourQuests_Close	
	2180620318	Play_SFX_Kill_Wood			\Default Work Unit\Play_SFX_Kill_Wood	
	2320060182	Play_Choice_Pl			\Default Work Unit\Placeholders\Play_Choice_Pl	
	2323405115	Play_Landing			\Default Work Unit\Play_Landing	
	2336975836	Play_SFX_Ship_Move			\Default Work Unit\Play_SFX_Ship_Move	
	2719138011	Play_SFX_Button_IGMenu_Open			\Default Work Unit\Play_SFX_Button_IGMenu_Open	
	2876783754	Play_SFX_Kill_Rhtuk_Victory			\Default Work Unit\Animals\Killing\Play_SFX_Kill_Rhtuk_Victory	
	2932040671	Play_MUSIC			\Default Work Unit\Placeholders\Play_MUSIC	
	2995306611	Play_SFX_Kill_Fish			\Default Work Unit\Play_SFX_Kill_Fish	
	3174629258	Play_GameOver			\Default Work Unit\Play_GameOver	
	3712003399	Play_SFX_Quest_New			\Default Work Unit\Play_SFX_Quest_New	
	3823867762	Play_placeholder_integration			\Default Work Unit\Placeholders\Play_placeholder_integration	
	4137235956	Play_DESERT_Pl			\Default Work Unit\Placeholders\Play_DESERT_Pl	
	4194349577	Play_SFX_Button_IGMenu_Close			\Default Work Unit\Play_SFX_Button_IGMenu_Close	
	4237694027	Play_SFX_Button_Takeoff			\Default Work Unit\Play_SFX_Button_Takeoff	

Game Parameter	ID	Name			Wwise Object Path	Notes
	56595255	Ambiance_Spat_Wetlands			\Default Work Unit\Ambiance_Spat_Wetlands	
	157466434	Ambiance_Volume_Desert			\Default Work Unit\Ambiance_Volume_Desert	RTPC qui gère le %age de Désert à l'écran
	552053955	Ambiance_Spat_Prairie			\Default Work Unit\Ambiance_Spat_Prairie	
	722193395	Ambiance_Volume_Wetlands			\Default Work Unit\Ambiance_Volume_Wetlands	RTPC qui gère le %age de Marais à l'écran
	1119075515	Ambiance_Wind_Mod			\Default Work Unit\Ambiance_Wind_Mod	RTPC qui gère le zoom de la caméra 0 = dézoomé 100 = full zoomé 
	1443029666	Ambiance_Volume_Water			\Default Work Unit\Ambiance_Volume_Water	RTPC qui gère le %age de Lac à l'écran
	1637951615	Ambiance_Volume_Prairie			\Default Work Unit\Ambiance_Volume_Prairie	RTPC qui gère le %age de Prairie  à l'écran
	2229451525	Ambiance_Spat_River			\Default Work Unit\Ambiance_Spat_River	
	2694967590	Ambiance_Spat_Desert			\Default Work Unit\Ambiance_Spat_Desert	
	3389067991	Zoom_Level			\Default Work Unit\Zoom_Level	
	3508485574	Ambiance_Spat_Water			\Default Work Unit\Ambiance_Spat_Water	
	3778366489	Ambiance_Volume_River			\Default Work Unit\Ambiance_Volume_River	RTPC qui gère le %age de Rivière à l'écran

Audio Bus	ID	Name			Wwise Object Path	Notes
	237089847	Prairie			\Default Work Unit\Master Audio Bus\AMBIANCES\Prairie	
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	496769563	Wetlands			\Default Work Unit\Master Audio Bus\AMBIANCES\Wetlands	
	1404066300	AMBIANCES			\Default Work Unit\Master Audio Bus\AMBIANCES	
	1537061107	Wind			\Default Work Unit\Master Audio Bus\AMBIANCES\Wind	
	1850388778	Desert			\Default Work Unit\Master Audio Bus\AMBIANCES\Desert	
	2654748154	Water			\Default Work Unit\Master Audio Bus\AMBIANCES\Water	
	3605787649	River			\Default Work Unit\Master Audio Bus\AMBIANCES\River	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	348963605	REVERB			\Default Work Unit\Master Audio Bus\REVERB	
	4158266076	Outdoor_RVB			\Default Work Unit\Master Audio Bus\Outdoor_RVB	

Effect plug-ins	ID	Name	Type				Notes
	48620415	Have_U_Ever_Been_Outside	Wwise RoomVerb			
	227394811	Wwise Compressor (Custom)	Wwise Compressor			
	808589750	Have_U_Ever_Been_Outside (Custom)	Wwise RoomVerb			
	1008402193	Low_Pass_20KHz	Wwise Parametric EQ			
	4141143155	Desert_EQ	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6237861	WinterWind-012	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\WinterWind-012_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Winter_Wind\WinterWind-012		170590
	13508074	WETLAND_Pl	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\WETLAND_Pl_0F603339.wem		\Actor-Mixer Hierarchy\Default Work Unit\PLACEHOLDERS\Ambiances_Placeholders\WETLAND_Pl		2198699
	32166428	Bird_MeadowLark	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\Bird_Oneshot_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\OneShots\Bird_MeadowLark		82781
	38216021	Dynamic_Ambiance_FROGS-002	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\Dynamic_Ambiance_FROGS-002_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Dynamic_Ambiances\Biomes_Ambiances\Wetlands\FROGS\Dynamic_Ambiance_FROGS-002		10964
	38588243	Dynamic_Ambiance_Wetlands-001	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\Dynamic_Ambiance_Wetlands-001_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Dynamic_Ambiances\Biomes_Ambiances\Wetlands\Wetlands\Dynamic_Ambiance_Wetlands-001		611841
	53098427	Dynamic_Ambiance_Wetlands-004	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\Dynamic_Ambiance_Wetlands-004_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Dynamic_Ambiances\Biomes_Ambiances\Wetlands\Wetlands\Dynamic_Ambiance_Wetlands-004		173139
	56958565	SFX_Wind_Zoomed_Lvl0-004	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\SFX_Wind_Zoomed_Lvl0-004_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Dynamic_Ambiances\Wind_Zoomed_Lvl0\SFX_Wind_Zoomed_Lvl0-004		405977
	57680916	Dynamic_Ambiance_FROGS-003	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\Dynamic_Ambiance_FROGS-003_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Dynamic_Ambiances\Biomes_Ambiances\Wetlands\FROGS\Dynamic_Ambiance_FROGS-003		12261
	61731601	SFX_Kill_Goat_V3-01	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\SFX_Kill_Goat_V3-01_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Harvest\Killing\SFX_Kill_Muing\SFX_Kill_Goat_V3-01		35232
	62256529	Dynamic_Ambiance_Wetlands-002	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\Dynamic_Ambiance_Wetlands-002_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Dynamic_Ambiances\Biomes_Ambiances\Wetlands\Wetlands\Dynamic_Ambiance_Wetlands-002		247146
	76071141	SFX_Wind_Zoomed_Lvl2-008	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\SFX_Wind_Zoomed_Lvl2-008_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Dynamic_Ambiances\Biomes_Ambiances\Prairie\SFX_Wind_Zoomed_Lvl2-008		1085311
	76267168	Dynamic_Ambiance_River-005	C:\Users\raphael.marchetti\Documents\OUR LAND\our-land\our-land_WwiseProject\.cache\Windows\SFX\Dynamic_Ambiance_River-005_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Dynamic_Ambiances\Biomes_Ambiances\River\River\Dynamic_Ambiance_River-005		475023
